"name","longitude","latitude","partitionID"
"Acer rubrum",-82.96956,29.20644,2
"Acer rubrum",-81.88306,41.40924,2
"Acer rubrum",-77.01937,39.27596,2
"Acer rubrum",-95.09227,33.04998,2
"Acer rubrum",-81.90072,28.85713,1
"Acer rubrum",-81.69498,41.38895,4
"Acer rubrum",-72.52712,44.29379,2
"Acer rubrum",-72.52762,44.29468,2
"Acer rubrum",-82.34943,29.64591,3
"Acer rubrum",-76.95543,39.16464,2
"Acer rubrum",-85.74928,35.25149,1
"Acer rubrum",-77.03324,39.30796,2
"Acer rubrum",-72.48887,44.37728,1
"Acer rubrum",-76.69296,38.80271,2
"Acer rubrum",-72.48985,44.37449,1
"Acer rubrum",-76.69704,38.80437,2
"Acer rubrum",-82.34456,29.64588,3
"Acer rubrum",-79.8737,43.62771,2
"Acer rubrum",-94.02215,30.81473,2
"Acer rubrum",-81.26092,28.26193,1
"Acer rubrum",-81.68577,28.66215,1
"Acer rubrum",-95.21505,29.92993,3
"Acer rubrum",-77.05501,38.96039,3
"Acer rubrum",-85.31411,35.07912,4
"Acer rubrum",-71.23776,42.28093,1
"Acer rubrum",-82.35123,29.64044,3
"Acer rubrum",-81.2453,28.3002,1
"Acer rubrum",-82.8189,42.1727,2
"Acer rubrum",-91.12722,30.46444,2
"Acer rubrum",-74.72427,40.29222,1
"Acer rubrum",-94.02419,30.81389,2
"Acer rubrum",-85.92086,35.20502,3
"Acer rubrum",-74.29873,40.68469,4
"Acer rubrum",-74.58445,41.02577,3
"Acer rubrum",-72.67578,43.82803,4
"Acer rubrum",-74.2175,40.17833,3
"Acer rubrum",-74.67482,40.60005,4
"Acer rubrum",-82.54814,40.52696,4
"Acer rubrum",-72.50468,44.32879,2
"Acer rubrum",-76.84699,39.1882,2
"Acer rubrum",-74.43722,40.4802,2
"Acer rubrum",-77.13861,38.88492,3
"Acer rubrum",-74.43854,40.47869,2
"Acer rubrum",-91.24428,47.38573,1
"Acer rubrum",-94.1081,32.65962,3
"Acer rubrum",-81.35841,41.07864,3
"Acer rubrum",-81.41145,41.33245,3
"Acer rubrum",-74.43777,40.47671,2
"Acer rubrum",-91.12792,30.46503,2
"Acer rubrum",-79.83265,36.08925,3
"Acer rubrum",-94.02391,30.81358,2
"Acer rubrum",-72.49924,44.32281,4
"Acer rubrum",-77.10791,38.91291,3
"Acer rubrum",-81.18776,35.81975,3
"Acer rubrum",-86.10322,35.49116,1
"Acer rubrum",-76.90532,39.10498,2
"Acer rubrum",-72.52486,44.35213,3
"Acer rubrum",-74.35169,40.53481,2
"Acer rubrum",-91.09724,46.19875,3
"Acer rubrum",-74.53289,40.60266,4
"Acer rubrum",-74.58525,41.01928,3
"Acer rubrum",-75.10976,39.96226,2
"Acer rubrum",-77.0447,38.97047,3
"Acer rubrum",-72.50022,44.32828,2
"Acer rubrum",-74.72448,40.29233,1
"Acer rubrum",-81.74719,40.88257,3
"Acer rubrum",-74.60685,40.62442,4
"Acer rubrum",-71.25816,42.36775,4
"Acer rubrum",-77.13861,38.88492,3
"Acer rubrum",-74.48814,40.71246,4
"Acer rubrum",-74.72658,40.29275,1
"Acer rubrum",-74.31144,40.67265,4
"Acer rubrum",-94.11625,30.47165,4
"Acer rubrum",-91.10093,46.18332,3
"Acer rubrum",-72.59557,44.15634,2
"Acer rubrum",-74.72722,40.29393,1
"Acer rubrum",-74.55847,40.62065,4
"Acer rubrum",-90.14014,29.82358,3
"Acer rubrum",-74.72667,40.29268,1
"Acer rubrum",-82.44729,28.10351,3
"Acer rubrum",-84.03654,36.9437,2
"Acer rubrum",-78.45779,37.03694,1
"Acer rubrum",-74.45783,40.61043,2
"Acer rubrum",-72.5204,44.31176,2
"Acer rubrum",-71.26033,42.36684,4
"Acer rubrum",-74.72817,40.29286,1
"Acer rubrum",-89.98736,35.14789,3
"Acer rubrum",-74.45531,40.63535,2
"Acer rubrum",-72.52684,44.35752,3
"Acer rubrum",-74.48809,40.61434,2
"Acer rubrum",-95.31994,30.04614,1
"Acer rubrum",-72.58021,44.25691,2
"Acer rubrum",-74.72674,40.29278,1
"Acer rubrum",-74.72671,40.29279,1
"Acer rubrum",-74.50278,40.65538,4
"Acer rubrum",-86.62859,33.40693,1
"Acer rubrum",-84.89782,37.54585,3
"Acer rubrum",-71.25972,42.36712,4
"Acer rubrum",-74.3188,40.67045,4
"Acer rubrum",-73.79513,42.79013,4
"Acer rubrum",-74.7243,40.2947,1
"Acer rubrum",-86.7047,33.70089,4
"Acer rubrum",-74.72712,40.29393,1
"Acer rubrum",-74.35781,41.0491,1
"Acer rubrum",-73.13782,42.02753,4
"Acer rubrum",-74.51211,40.62582,4
"Acer rubrum",-72.58887,44.25638,2
"Acer rubrum",-72.51478,44.36827,3
"Acer rubrum",-91.02669,30.42461,2
"Acer rubrum",-73.13046,44.50062,2
"Acer rubrum",-84.89694,37.54575,3
"Acer rubrum",-84.12849,37.16549,3
"Acer rubrum",-84.90082,37.54404,3
"Acer rubrum",-78.30668,38.54583,1
"Acer rubrum",-91.24437,47.3856,1
"Acer rubrum",-81.53806,41.2124,2
"Acer rubrum",-73.17205,44.42476,4
"Acer rubrum",-86.68878,33.70126,4
"Acer rubrum",-78.96728,36.06183,4
"Acer rubrum",-78.14396,40.36788,3
"Acer rubrum",-91.02364,30.42432,2
"Acer rubrum",-91.03194,30.48966,2
"Acer rubrum",-86.70105,33.69682,4
"Acer rubrum",-75.50929,45.391,3
"Acer rubrum",-64.98726,47.52983,4
"Acer rubrum",-72.70628,44.47255,3
"Acer rubrum",-76.01027,45.35378,1
"Acer rubrum",-72.50178,44.33875,3
"Acer rubrum",-74.5328,40.6027,4
"Acer rubrum",-74.2435,40.65248,2
"Acer rubrum",-74.55648,40.62346,4
"Acer rubrum",-83.32007,35.47893,1
"Acer rubrum",-82.74515,36.70754,2
"Acer rubrum",-74.39826,40.52554,2
"Acer rubrum",-92.10083,30.26556,2
"Acer rubrum",-72.58356,43.25356,3
"Acer rubrum",-74.69904,40.72623,2
"Acer rubrum",-81.57948,41.21175,2
"Acer rubrum",-77.92289,38.01551,1
"Acer rubrum",-77.24857,39.00009,4
"Acer rubrum",-81.51201,41.2204,2
"Acer rubrum",-94.20694,45.62163,3
"Acer rubrum",-78.71767,42.88999,1
"Acer rubrum",-76.04809,45.35782,1
"Acer rubrum",-94.20694,45.62163,3
"Acer rubrum",-71.19799,42.67146,2
"Acer rubrum",-73.24013,44.50498,4
