species,lon,lat,ROUGHN,ALTITUDE,APAN_MEAN_,PPTCV,FROST_DURT,HTUNT,MAX01,MIN07,MEAN_AN_PR,NDVI,RAIN_CONCE,SMDSUM,SMDWIN,FERT1,FERT2,FERT3,FERT4,TEXT1,TEXT2,TEXT3,TEXT4,PH1,PH2,PH3,fold.assignment,ID
1,19.3,-32.6,470.0,1528.0,1917.5,31.1,122.0,0.0,24.6,1.9,494.0,87.0,53.0,9.3,73.0,91.0,0.0,9.0,0.0,0.0,9.0,0.0,91.0,91.0,9.0,0,2,43
1,19.4,-32.7,529.0,1565.0,1920.6,31.0,127.0,0.0,24.6,1.4,501.0,87.0,54.0,9.1,73.1,62.0,0.0,38.0,0.0,0.0,38.0,0.0,62.0,62.0,38.0,0,2,45
1,19.4,-32.7,584.0,1596.0,1932.9,31.8,132.0,0.0,24.7,1.4,464.0,91.0,54.0,8.7,70.7,85.0,0.0,15.0,0.0,0.0,15.0,0.0,85.0,85.0,15.0,0,2,46
1,19.4,-32.7,311.0,1267.0,1998.6,33.1,138.0,0.9,25.9,2.8,406.0,88.0,54.0,8.3,67.7,74.0,0.0,26.0,0.0,0.0,26.0,0.0,74.0,74.0,26.0,0,2,48
1,19.4,-32.7,374.0,1337.0,1977.8,32.5,148.0,0.4,25.5,2.3,432.0,90.0,54.0,8.4,69.0,78.0,0.0,22.0,0.0,0.0,22.0,0.0,78.0,78.0,22.0,0,2,49
1,19.4,-32.7,303.0,1524.0,1949.2,32.5,138.0,0.0,24.9,1.5,433.0,78.0,54.0,8.4,68.8,87.0,0.0,13.0,0.0,0.0,13.0,0.0,87.0,87.0,13.0,0,2,50
1,19.2,-32.9,632.0,1294.0,1847.1,26.3,97.0,0.3,25.0,2.5,709.0,104.0,53.0,12.2,89.7,97.0,0.0,3.0,0.0,0.0,3.0,0.0,97.0,97.0,3.0,0,2,72
1,19.2,-32.9,288.0,1097.0,1977.4,28.3,94.0,2.8,26.4,3.7,618.0,119.0,53.0,11.2,84.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0,2,73
1,19.3,-32.9,574.0,1405.0,1845.3,25.7,136.0,0.3,25.0,1.7,735.0,113.0,54.0,12.4,92.1,30.0,0.0,16.0,53.0,0.0,58.0,42.0,0.0,42.0,58.0,0,2,74
1,19.3,-32.9,576.0,1640.0,1835.6,25.6,147.0,0.0,24.3,1.0,738.0,104.0,55.0,12.0,93.2,41.0,0.0,15.0,44.0,0.0,44.0,56.0,0.0,56.0,44.0,0,2,75
1,19.3,-33.0,433.0,1333.0,1851.9,25.4,143.0,0.5,25.2,1.9,749.0,128.0,54.0,12.7,93.1,12.0,0.0,29.0,58.0,0.0,68.0,32.0,0.0,29.0,71.0,0,2,76
1,19.3,-33.0,336.0,1109.0,1974.3,27.3,124.0,2.3,26.3,3.3,665.0,125.0,55.0,11.3,90.2,51.0,1.0,0.0,48.0,0.0,48.0,52.0,0.0,52.0,48.0,0,2,77
1,19.3,-33.0,384.0,1509.0,1812.8,23.8,132.0,0.0,24.8,1.4,819.0,133.0,54.0,13.2,96.0,57.0,0.0,11.0,32.0,0.0,34.0,66.0,0.0,66.0,34.0,0,2,78
1,19.3,-33.0,435.0,1102.0,1991.3,26.9,113.0,4.0,26.9,3.4,681.0,132.0,55.0,11.4,90.1,8.0,13.0,23.0,56.0,0.0,68.0,32.0,0.0,29.0,71.0,0,2,79
1,19.1,-33.0,300.0,1550.0,1567.0,15.0,128.0,0.0,23.8,1.4,1320.0,97.0,52.0,19.2,103.5,82.0,0.0,18.0,0.0,0.0,0.0,22.0,78.0,82.0,18.0,0,2,80
1,19.4,-33.0,288.0,1470.0,1882.4,25.5,141.0,0.0,25.1,1.3,741.0,72.0,55.0,10.8,90.7,27.0,0.0,2.0,71.0,57.0,14.0,29.0,0.0,29.0,71.0,0,2,81
1,19.1,-33.1,476.0,1272.0,1658.3,15.0,108.0,0.7,24.8,2.8,1283.0,91.0,51.0,17.6,103.4,79.0,0.0,21.0,0.0,0.0,21.0,56.0,23.0,79.0,21.0,0,2,111
1,19.1,-33.1,641.0,1386.0,1608.3,15.0,124.0,0.3,24.3,2.1,1308.0,87.0,51.0,18.7,103.5,92.0,0.0,8.0,0.0,0.0,8.0,1.0,92.0,92.0,8.0,0,2,112
1,19.4,-33.2,477.0,1544.0,1732.7,18.6,154.0,0.0,23.7,1.1,1050.0,87.0,56.0,12.9,102.4,48.0,0.0,5.0,47.0,0.0,47.0,53.0,0.0,53.0,47.0,0,2,141
1,19.4,-33.2,593.0,1600.0,1686.3,15.0,133.0,0.0,23.5,0.9,1238.0,90.0,56.0,14.6,103.1,68.0,0.0,7.0,25.0,0.0,25.0,75.0,0.0,75.0,25.0,0,2,144
1,20.0,-33.2,322.0,1249.0,2021.5,32.0,143.0,2.3,26.9,1.1,454.0,69.0,43.0,15.2,50.7,40.0,0.0,1.0,59.0,0.0,59.0,41.0,0.0,41.0,59.0,0,2,148
1,19.4,-33.2,721.0,1498.0,1805.4,21.5,131.0,0.3,25.0,2.7,918.0,106.0,55.0,12.3,99.8,22.0,0.0,20.0,58.0,0.0,69.0,31.0,0.0,31.0,69.0,0,2,149
1,19.4,-33.2,361.0,1648.0,1673.2,15.0,140.0,0.0,23.6,1.0,1319.0,85.0,55.0,15.5,103.3,72.0,0.0,1.0,27.0,0.0,27.0,73.0,0.0,73.0,27.0,0,2,150
1,19.4,-33.2,388.0,1323.0,1779.0,20.3,153.0,0.0,24.6,2.0,972.0,86.0,55.0,12.5,100.7,84.0,0.0,0.0,16.0,0.0,16.0,84.0,0.0,84.0,16.0,0,2,151
1,19.4,-33.2,305.0,1454.0,1757.0,19.7,153.0,0.0,24.2,1.4,1001.0,87.0,55.0,12.7,101.3,62.0,0.0,0.0,38.0,0.0,38.0,62.0,0.0,62.0,38.0,0,2,152
1,19.4,-33.2,278.0,1270.0,1833.3,24.5,158.0,0.1,25.0,2.2,785.0,98.0,55.0,10.9,93.3,64.0,0.0,0.0,36.0,36.0,0.0,64.0,0.0,64.0,36.0,0,2,153
1,23.4,-33.2,185.0,992.0,2377.1,35.3,134.0,12.4,30.8,1.2,309.0,99.0,23.0,21.3,23.4,48.0,52.0,0.0,0.0,0.0,0.0,100.0,0.0,48.0,52.0,0,2,156
1,23.4,-33.2,239.0,1087.0,2348.7,34.0,132.0,10.8,30.5,1.0,369.0,99.0,24.0,22.4,25.4,98.0,2.0,0.0,0.0,0.0,0.0,100.0,0.0,98.0,2.0,0,2,157
1,21.2,-33.3,329.0,1433.0,2064.2,33.5,144.0,1.8,26.9,1.3,389.0,67.0,15.0,17.2,47.8,97.0,0.0,0.0,3.0,3.0,0.0,97.0,0.0,97.0,3.0,0,2,187
1,21.2,-33.3,297.0,1570.0,2042.6,32.5,147.0,1.1,26.6,0.9,433.0,64.0,15.0,18.0,48.8,78.0,0.0,0.0,22.0,22.0,0.0,78.0,0.0,78.0,22.0,0,2,188
1,21.2,-33.3,411.0,1612.0,2068.2,34.5,146.0,0.8,26.4,0.7,344.0,68.0,15.0,16.6,44.3,48.0,0.0,0.0,52.0,52.0,0.0,48.0,0.0,48.0,52.0,0,2,189
1,22.2,-33.3,498.0,1457.0,2185.3,32.5,154.0,4.9,28.7,0.6,433.0,93.0,10.0,17.4,36.3,94.0,0.0,6.0,0.0,0.0,6.0,63.0,31.0,94.0,6.0,0,2,197
1,22.2,-33.3,416.0,1486.0,2185.3,33.1,149.0,4.2,28.4,0.4,407.0,109.0,11.0,16.8,35.8,81.0,0.0,15.0,4.0,0.0,19.0,48.0,34.0,81.0,19.0,0,2,198
1,22.1,-33.3,410.0,1773.0,2060.0,29.4,168.0,2.0,27.6,-0.4,571.0,128.0,7.0,22.5,40.2,98.0,0.0,2.0,0.0,0.0,2.0,59.0,39.0,98.0,2.0,0,2,217
1,22.2,-33.3,420.0,1634.0,2116.7,31.3,178.0,2.8,28.0,0.0,485.0,114.0,8.0,20.7,37.4,92.0,0.0,8.0,0.0,0.0,8.0,61.0,31.0,92.0,8.0,0,2,218
1,22.2,-33.3,235.0,1780.0,2068.7,29.7,155.0,1.9,27.5,-0.4,555.0,113.0,8.0,20.2,40.0,100.0,0.0,0.0,0.0,0.0,0.0,87.0,13.0,100.0,0.0,0,2,219
1,22.2,-33.3,366.0,1591.0,2134.1,31.4,166.0,3.4,28.2,0.0,482.0,105.0,8.0,19.6,37.7,86.0,0.0,14.0,0.0,0.0,14.0,71.0,15.0,86.0,14.0,0,2,220
